siteID,blockID,treatment,plotID,burial_length,elements,value,detection_limit,burial_date,retrieval_date,notes
Ulvehaugen,Ulv1,FB,Ulv1FB,36,NH4-N,14.18,2,2021-08-04,2021-09-09,NA
Ulvehaugen,Ulv1,FB,Ulv1FB,36,Ca,639.13,2,2021-08-04,2021-09-09,NA
Ulvehaugen,Ulv1,FB,Ulv1FB,36,Mg,67.33,4,2021-08-04,2021-09-09,NA
Ulvehaugen,Ulv1,FB,Ulv1FB,36,K,101.35,4,2021-08-04,2021-09-09,NA
Ulvehaugen,Ulv1,FB,Ulv1FB,36,P,0.96,0.2,2021-08-04,2021-09-09,NA
Ulvehaugen,Ulv1,FB,Ulv1FB,36,Fe,2.8,0.4,2021-08-04,2021-09-09,NA
Ulvehaugen,Ulv1,FB,Ulv1FB,36,Mn,1.54,0.2,2021-08-04,2021-09-09,NA
Ulvehaugen,Ulv1,FB,Ulv1FB,36,Zn,0.91,0.2,2021-08-04,2021-09-09,NA
Ulvehaugen,Ulv1,FB,Ulv1FB,36,B,0.75,0.2,2021-08-04,2021-09-09,NA
Ulvehaugen,Ulv1,FB,Ulv1FB,36,S,21.64,2,2021-08-04,2021-09-09,NA
Ulvehaugen,Ulv1,FB,Ulv1FB,36,Al,13.61,0.4,2021-08-04,2021-09-09,NA
Ulvehaugen,Ulv1,GB,Ulv1GB,36,NH4-N,3.12,2,2021-08-04,2021-09-09,NA
Ulvehaugen,Ulv1,GB,Ulv1GB,36,Ca,253.77,2,2021-08-04,2021-09-09,NA
Ulvehaugen,Ulv1,GB,Ulv1GB,36,Mg,93.63,4,2021-08-04,2021-09-09,NA
Ulvehaugen,Ulv1,GB,Ulv1GB,36,K,166.07,4,2021-08-04,2021-09-09,NA
Ulvehaugen,Ulv1,GB,Ulv1GB,36,P,5.97,0.2,2021-08-04,2021-09-09,NA
Ulvehaugen,Ulv1,GB,Ulv1GB,36,Fe,2.03,0.4,2021-08-04,2021-09-09,NA
Ulvehaugen,Ulv1,GB,Ulv1GB,36,Mn,8.54,0.2,2021-08-04,2021-09-09,NA
Ulvehaugen,Ulv1,GB,Ulv1GB,36,Zn,3.14,0.2,2021-08-04,2021-09-09,NA
Ulvehaugen,Ulv1,GB,Ulv1GB,36,S,13.87,2,2021-08-04,2021-09-09,NA
Ulvehaugen,Ulv1,GB,Ulv1GB,36,Al,7.42,0.4,2021-08-04,2021-09-09,NA
Ulvehaugen,Ulv1,GF,Ulv1GF,36,NO3-N,2.7,2,2021-08-04,2021-09-09,NA
Ulvehaugen,Ulv1,GF,Ulv1GF,36,NH4-N,7.22,2,2021-08-04,2021-09-09,NA
Ulvehaugen,Ulv1,GF,Ulv1GF,36,Ca,1566.04,2,2021-08-04,2021-09-09,NA
Ulvehaugen,Ulv1,GF,Ulv1GF,36,Mg,149,4,2021-08-04,2021-09-09,NA
Ulvehaugen,Ulv1,GF,Ulv1GF,36,K,104.11,4,2021-08-04,2021-09-09,NA
Ulvehaugen,Ulv1,GF,Ulv1GF,36,P,3.9,0.2,2021-08-04,2021-09-09,NA
Ulvehaugen,Ulv1,GF,Ulv1GF,36,Fe,3.27,0.4,2021-08-04,2021-09-09,NA
Ulvehaugen,Ulv1,GF,Ulv1GF,36,Mn,1.59,0.2,2021-08-04,2021-09-09,NA
Ulvehaugen,Ulv1,GF,Ulv1GF,36,Zn,1.25,0.2,2021-08-04,2021-09-09,NA
Ulvehaugen,Ulv1,GF,Ulv1GF,36,B,1.01,0.2,2021-08-04,2021-09-09,NA
Ulvehaugen,Ulv1,GF,Ulv1GF,36,S,35.31,2,2021-08-04,2021-09-09,NA
Ulvehaugen,Ulv1,GF,Ulv1GF,36,Al,18.9,0.4,2021-08-04,2021-09-09,NA
Ulvehaugen,Ulv1,FGB,Ulv1FGB,36,NH4-N,2.86,2,2021-08-04,2021-09-09,NA
