year,siteID,blockID,plotID,treatment,removed_fg,biomass,no_treatment,comments
2022,Alrust,Alr1,Alr1GF,GF,B,0.85,leftover,No lichen in the plot
2022,Alrust,Alr1,Alr1GF,GF,F,0.61,NA,No lichen in the plot
2022,Alrust,Alr1,Alr1GF,GF,G,1.73,NA,No lichen in the plot
2022,Alrust,Alr2,Alr2GF,GF,B,0.013,leftover,No lichen in the plot
2022,Alrust,Alr2,Alr2GF,GF,F,0.083,NA,No lichen in the plot
2022,Alrust,Alr2,Alr2GF,GF,G,0.56,NA,No lichen in the plot
2022,Alrust,Alr3,Alr3GF,GF,B,2.32,leftover,NA
2022,Alrust,Alr3,Alr3GF,GF,F,1.29,NA,NA
2022,Alrust,Alr3,Alr3GF,GF,G,0.27,NA,NA
2022,Alrust,Alr3,Alr3GF,GF,L,0.36,leftover,NA
2022,Alrust,Alr5,Alr5GF,GF,B,0.4,leftover,NA
2022,Alrust,Alr5,Alr5GF,GF,F,0.014,NA,NA
2022,Alrust,Alr5,Alr5GF,GF,G,0.09,NA,NA
2022,Alrust,Alr5,Alr5GF,GF,L,0.117,leftover,NA
2022,Alrust,Alr1,Alr1FB,FB,B,0.26,NA,No lichen in the plot
2022,Alrust,Alr1,Alr1FB,FB,F,0.72,NA,No lichen in the plot
2022,Alrust,Alr1,Alr1FB,FB,G,13.81,leftover,No lichen in the plot
2022,Alrust,Alr2,Alr2FB,FB,B,0.47,NA,No lichen in the plot
2022,Alrust,Alr2,Alr2FB,FB,F,0.39,NA,No lichen in the plot
2022,Alrust,Alr2,Alr2FB,FB,G,19,leftover,No lichen in the plot
2022,Alrust,Alr3,Alr3FB,FB,B,0.033,NA,NA
2022,Alrust,Alr3,Alr3FB,FB,F,0.65,NA,NA
2022,Alrust,Alr3,Alr3FB,FB,G,3.92,leftover,NA
2022,Alrust,Alr3,Alr3FB,FB,L,0.14,leftover,NA
2022,Alrust,Alr5,Alr5FB,FB,B,0.002,NA,No lichen in the plot
2022,Alrust,Alr5,Alr5FB,FB,F,0.28,NA,No lichen in the plot
2022,Alrust,Alr5,Alr5FB,FB,G,2.82,leftover,No lichen in the plot
2022,Alrust,Alr1,Alr1GB,GB,B,0.93,NA,No lichen in the plot
2022,Alrust,Alr1,Alr1GB,GB,F,4.74,leftover,No lichen in the plot
2022,Alrust,Alr1,Alr1GB,GB,G,2.76,NA,No lichen in the plot
2022,Alrust,Alr2,Alr2GB,GB,B,0.009,NA,No lichen in the plot
2022,Alrust,Alr2,Alr2GB,GB,F,5.51,leftover,No lichen in the plot
2022,Alrust,Alr2,Alr2GB,GB,G,0.97,NA,No lichen in the plot
2022,Alrust,Alr3,Alr3GB,GB,B,0.1,NA,NA
2022,Alrust,Alr3,Alr3GB,GB,F,12.14,leftover,NA
2022,Alrust,Alr3,Alr3GB,GB,G,0.42,NA,NA
2022,Alrust,Alr3,Alr3GB,GB,L,0.08,leftover,NA
2022,Alrust,Alr5,Alr5GB,GB,B,0.39,NA,No lichen in the plot
2022,Alrust,Alr5,Alr5GB,GB,F,6.39,leftover,No lichen in the plot
2022,Alrust,Alr5,Alr5GB,GB,G,0.32,NA,No lichen in the plot
2022,Alrust,Alr1,Alr1C,C,B,0.44,NA,No lichen in the plot
2022,Alrust,Alr1,Alr1C,C,F,4.24,NA,No lichen in the plot
2022,Alrust,Alr1,Alr1C,C,G,28.87,NA,No lichen in the plot
2022,Alrust,Alr2,Alr2C,C,B,0.32,NA,No lichen in the plot
2022,Alrust,Alr2,Alr2C,C,F,6.34,NA,No lichen in the plot
2022,Alrust,Alr2,Alr2C,C,G,20.5,NA,No lichen in the plot
2022,Alrust,Alr3,Alr3C,C,B,1.19,NA,NA
2022,Alrust,Alr3,Alr3C,C,F,9.93,NA,NA
2022,Alrust,Alr3,Alr3C,C,G,4.67,NA,NA
2022,Alrust,Alr3,Alr3C,C,L,0.21,leftover,NA
2022,Alrust,Alr5,Alr5C,C,B,0.082,NA,No lichen in the plot
2022,Alrust,Alr5,Alr5C,C,F,8.89,NA,No lichen in the plot
2022,Alrust,Alr5,Alr5C,C,G,3.26,NA,No lichen in the plot
2022,Alrust,Alr1,Alr1G,G,B,1.03,leftover,NA
2022,Alrust,Alr1,Alr1G,G,F,4.96,leftover,NA
2022,Alrust,Alr1,Alr1G,G,G,2.13,NA,NA
2022,Alrust,Alr1,Alr1G,G,L,0.14,leftover,NA
2022,Alrust,Alr2,Alr2G,G,B,3.17,leftover,No lichen in the plot
2022,Alrust,Alr2,Alr2G,G,F,6.48,leftover,No lichen in the plot
2022,Alrust,Alr2,Alr2G,G,G,1.32,NA,No lichen in the plot
2022,Alrust,Alr3,Alr3G,G,B,0.079,leftover,No lichen in the plot
2022,Alrust,Alr3,Alr3G,G,F,6.73,leftover,No lichen in the plot
2022,Alrust,Alr3,Alr3G,G,G,0.26,NA,No lichen in the plot
2022,Alrust,Alr5,Alr5G,G,B,0.81,leftover,NA
2022,Alrust,Alr5,Alr5G,G,F,6.52,leftover,NA
2022,Alrust,Alr5,Alr5G,G,G,0.74,NA,NA
2022,Alrust,Alr5,Alr5G,G,L,0.1,leftover,NA
2022,Alrust,Alr1,Alr1F,F,B,0.95,leftover,No lichen in the plot
2022,Alrust,Alr1,Alr1F,F,F,0.36,NA,No lichen in the plot
