year,sampling_date,siteID,blockID,treatment,plotID,extraction_height,extraction_round,microarthropods,functional_group,abundance,observer,comments
2022,2022-08-25,Fauske,Fau1,GF,Fau1GF,NA,1,mite,fungivorous,3,V,NA
2022,2022-08-25,Fauske,Fau1,GF,Fau1GF,NA,1,mite,nematophagous,0,V,NA
2022,2022-08-25,Fauske,Fau1,GF,Fau1GF,NA,1,mite,predaceous,4,V,NA
2022,2022-08-25,Fauske,Fau1,GF,Fau1GF,NA,1,mite,unknownjuvenile,0,V,NA
2022,2022-08-25,Fauske,Fau1,GF,Fau1GF,NA,1,collembola,fungivorous,2,V,NA
2022,2022-08-25,Fauske,Fau1,GF,Fau1GF,NA,1,collembola,predaceous,0,V,NA
2022,2022-08-25,Fauske,Fau1,FB,Fau1FB,NA,1,mite,fungivorous,0,M,regular bulb
2022,2022-08-25,Fauske,Fau1,FB,Fau1FB,NA,1,mite,nematophagous,0,M,regular bulb
2022,2022-08-25,Fauske,Fau1,FB,Fau1FB,NA,1,mite,predaceous,5,M,regular bulb
2022,2022-08-25,Fauske,Fau1,FB,Fau1FB,NA,1,mite,unknownjuvenile,0,M,regular bulb
2022,2022-08-25,Fauske,Fau1,FB,Fau1FB,NA,1,collembola,fungivorous,1,M,regular bulb
2022,2022-08-25,Fauske,Fau1,FB,Fau1FB,NA,1,collembola,predaceous,0,M,regular bulb
2022,2022-08-25,Fauske,Fau1,GB,Fau1GB,NA,1,mite,fungivorous,11,M,NA
2022,2022-08-25,Fauske,Fau1,GB,Fau1GB,NA,1,mite,nematophagous,0,M,NA
2022,2022-08-25,Fauske,Fau1,GB,Fau1GB,NA,1,mite,predaceous,6,M,NA
2022,2022-08-25,Fauske,Fau1,GB,Fau1GB,NA,1,mite,unknownjuvenile,0,M,NA
2022,2022-08-25,Fauske,Fau1,GB,Fau1GB,NA,1,collembola,fungivorous,0,M,NA
2022,2022-08-25,Fauske,Fau1,GB,Fau1GB,NA,1,collembola,predaceous,0,M,NA
2022,2022-08-25,Fauske,Fau1,FGB,Fau1FGB,NA,1,mite,fungivorous,1,M,NA
2022,2022-08-25,Fauske,Fau1,FGB,Fau1FGB,NA,1,mite,nematophagous,0,M,NA
2022,2022-08-25,Fauske,Fau1,FGB,Fau1FGB,NA,1,mite,predaceous,0,M,NA
2022,2022-08-25,Fauske,Fau1,FGB,Fau1FGB,NA,1,mite,unknownjuvenile,0,M,NA
2022,2022-08-25,Fauske,Fau1,FGB,Fau1FGB,NA,1,collembola,fungivorous,0,M,NA
2022,2022-08-25,Fauske,Fau1,FGB,Fau1FGB,NA,1,collembola,predaceous,0,M,NA
2022,2022-08-25,Fauske,Fau1,C,Fau1C,NA,1,mite,fungivorous,3,V,NA
2022,2022-08-25,Fauske,Fau1,C,Fau1C,NA,1,mite,nematophagous,0,V,NA
2022,2022-08-25,Fauske,Fau1,C,Fau1C,NA,1,mite,predaceous,0,V,NA
2022,2022-08-25,Fauske,Fau1,C,Fau1C,NA,1,mite,unknownjuvenile,0,V,NA
2022,2022-08-25,Fauske,Fau1,C,Fau1C,NA,1,collembola,fungivorous,0,V,NA
2022,2022-08-25,Fauske,Fau1,C,Fau1C,NA,1,collembola,predaceous,0,V,NA
2022,2022-08-25,Fauske,Fau2,GF,Fau2GF,NA,1,mite,fungivorous,12,M,NA
2022,2022-08-25,Fauske,Fau2,GF,Fau2GF,NA,1,mite,nematophagous,19,M,NA
2022,2022-08-25,Fauske,Fau2,GF,Fau2GF,NA,1,mite,predaceous,54,M,NA
2022,2022-08-25,Fauske,Fau2,GF,Fau2GF,NA,1,mite,unknownjuvenile,0,M,NA
2022,2022-08-25,Fauske,Fau2,GF,Fau2GF,NA,1,collembola,fungivorous,5,M,NA
2022,2022-08-25,Fauske,Fau2,GF,Fau2GF,NA,1,collembola,predaceous,0,M,NA
2022,2022-08-25,Fauske,Fau2,FB,Fau2FB,high,2,mite,fungivorous,NA,M,Too much soil impossible to see through
2022,2022-08-25,Fauske,Fau2,FB,Fau2FB,high,2,mite,nematophagous,NA,M,Too much soil impossible to see through
2022,2022-08-25,Fauske,Fau2,FB,Fau2FB,high,2,mite,predaceous,NA,M,Too much soil impossible to see through
