year,date,siteID,blockID,plotID,treatment,starttime,stoptime,time,PAR,soiltemp,vegHeight,nee,gpp,rsqd,chamber,removal,weather,flag,comment,turfID,soilmoisture,recorder,tempK,starttime_Reco,stoptime_Reco,time_Reco,PAR_Reco,soiltemp_Reco,vegHeight_Reco,Reco,rsqd_Reco,chamber_Reco,removal_Reco,weather_Reco,flag_Reco,comment_Reco,turfID_Reco,soilmoisture_Reco,recorder_Reco,tempK_Reco,delta
2015,2015-07-09,Alrust,Alr1,Alr1B,B,2015-07-09T14:28:30Z,2015-07-09T14:30:00Z,90,307.1021052631579,NA,0.04,-1.4819063515796689,-5.939734799334688,0.9747166398365873,1,pre,NA,NA,NA,NA,7.15,Tabea,288.1178333333333,2015-07-09T14:31:00Z,2015-07-09T14:32:15Z,75,12.3528125,NA,0.04,4.457828447755019,0.9346755260536975,1,pre,NA,NA,NA,NA,7.15,Tabea,288.24699999999996,150
2017,2017-07-03,Alrust,Alr1,Alr1B,B,2017-07-03T08:07:45Z,2017-07-03T08:09:45Z,120,365,11.4,NA,-2.1639935330746667,-8.61320050048995,0.9879827344637298,1,post,Overcast,NA,NA,NA,17.85,NA,288.24699999999996,2017-07-03T08:10:10Z,2017-07-03T08:12:10Z,120,1,11.5,NA,6.449206967415284,0.9784498512146284,1,post,Overcast,NA,NA,NA,17.85,NA,287.99699999999996,145
2017,2017-07-03,Alrust,Alr1,Alr1B,B,2017-07-03T13:31:30Z,2017-07-03T13:33:30Z,120,480,12,NA,-1.2955264110350662,-6.5736107385869165,0.8453839147327017,1,post,Cloudy,NA,NA,NA,17.85,NA,294.5045,2017-07-03T13:34:00Z,2017-07-03T13:36:00Z,120,2,11.8,NA,5.27808432755185,0.9518092679339347,1,post,Cloudy,NA,NA,NA,17.85,NA,293.75399999999996,150
2017,2017-07-03,Alrust,Alr1,Alr1B,B,2017-07-03T16:12:30Z,2017-07-03T16:13:30Z,60,300,14.7,NA,1.2513347068904068,-5.738821910987169,0.9019929097090789,1,post,Cloudy,NA,NA,NA,17.85,NA,298.65549999999996,2017-07-03T16:15:15Z,2017-07-03T16:17:15Z,120,1,14.2,NA,6.990156617877576,0.9389792167790314,1,post,Cloudy,NA,NA,NA,17.85,NA,296.755,165
2017,2017-07-04,Alrust,Alr1,Alr1B,B,2017-07-04T07:31:05Z,2017-07-04T07:32:30Z,85,195,10.9,NA,-0.4179686288658486,-3.356155559446865,0.8655531525887614,1,post,cloudy,NA,NA,NA,NA,NA,284.239,2017-07-04T07:34:35Z,2017-07-04T07:36:35Z,120,4,10.9,NA,2.938186930581016,0.9526253748887991,1,post,cloudy,NA,NA,NA,NA,NA,284.239,210
2017,2017-07-03,Alrust,Alr1,Alr1B,B,2017-07-03T07:28:44Z,2017-07-03T07:30:14Z,90,412.76373626373623,11.4,NA,-1.9894941805718183,-8.165847721767802,0.8746979637373704,2,post,Overcast/Windy,NA,NA,NA,17.85,NA,285.9475,2017-07-03T07:31:10Z,2017-07-03T07:33:10Z,120,1.1446280991735538,11.5,NA,6.176353541195985,0.8506302007334344,2,post,Overcast/Windy,NA,NA,NA,17.85,NA,285.9475,146
2017,2017-07-03,Alrust,Alr1,Alr1B,B,2017-07-03T09:15:08Z,2017-07-03T09:17:08Z,120,300.8570247933884,12,NA,1.4053366871038255,-5.463189232934713,0.8548809988800901,2,post,Overcast,NA,NA,NA,17.85,NA,286.198,2017-07-03T09:18:42Z,2017-07-03T09:20:22Z,100,1.9465346534653465,11.8,NA,6.868525920038539,0.9473077120714325,2,post,Overcast,NA,NA,NA,17.85,NA,285.9475,214
2017,2017-07-04,Alrust,Alr1,Alr1B,B,2017-07-04T07:56:10Z,2017-07-04T07:58:10Z,103,267.9365384615385,10.9,NA,3.8799071488224786,-1.8753689532257636,0.9518530396314486,2,post,Sunny,NA,NA,NA,NA,NA,284.19399999999996,2017-07-04T07:58:38Z,2017-07-04T08:00:38Z,120,1.4082644628099175,10.9,NA,5.755276102048242,0.8996541817836164,2,post,Sunny,NA,NA,NA,NA,NA,284.19399999999996,148
2017,2017-07-04,Alrust,Alr1,Alr1B,B,2017-07-04T15:06:36Z,2017-07-04T15:08:36Z,120,1089.0380165289257,16.8,NA,4.37719752381254,-8.328705861224051,0.893969863332712,2,post,Sunny,NA,NA,NA,NA,NA,300.7075,2017-07-04T15:09:36Z,2017-07-04T15:11:36Z,120,6.364462809917355,16.8,NA,12.705903385036592,0.8639697861475539,2,post,Sunny,NA,NA,NA,NA,NA,300.9325,180
2017,2017-07-04,Alrust,Alr1,Alr1B,B,2017-07-04T16:21:24Z,2017-07-04T16:23:24Z,116,581.5555555555555,16.2,NA,2.5819516997810337,-6.008827920474877,0.8815640969219751,2,post,Sunny,NA,NA,NA,NA,NA,297.46099999999996,2017-07-04T16:23:51Z,2017-07-04T16:25:51Z,120,4.005785123966942,16.2,NA,8.59077962025591,0.9414082003074805,2,post,Sunny,NA,NA,NA,NA,NA,297.71099999999996,147
2015,2015-07-09,Alrust,Alr1,Alr1C,C,2015-07-09T08:00:30Z,2015-07-09T08:02:00Z,90,285.16052631578947,NA,0.04,-3.750867775708682,-9.691179676984659,0.9407612345460225,1,pre,NA,pre,NA,29 TTC,11.575,Tabea,287.74699999999996,2015-07-09T08:03:00Z,2015-07-09T08:04:30Z,90,9.482715789473684,NA,0.04,5.940311901275977,0.9882780494337559,1,pre,NA,pre,NA,29 TTC,11.575,Tabea,287.625925,150
2015,2015-07-09,Alrust,Alr1,Alr1C,C,2015-07-09T14:24:00Z,2015-07-09T14:25:25Z,85,321.0733333333333,NA,0.04,-1.596719572445606,-5.812420229427909,0.958022312545734,1,pre,NA,NA,NA,29 TTC,11.575,Tabea,287.99699999999996,2015-07-09T14:26:00Z,2015-07-09T14:27:30Z,90,13.291421052631579,NA,0.04,4.215700656982303,0.9726050360051791,1,pre,NA,NA,NA,29 TTC,11.575,Tabea,287.99699999999996,120
2016,2016-06-14,Alrust,Alr1,Alr1C,C,2016-06-14T11:03:35Z,2016-06-14T11:04:45Z,70,439.75042253521127,13.4,16,-3.4946409390891753,-12.297545733974044,0.951053057074451,1,post,NA,NA,NA,29 TTC,11.8,Maja,290.45099999999996,2016-06-14T11:05:30Z,2016-06-14T11:07:20Z,110,2.187837837837838,13.4,16,8.802904794884869,0.9835455888489404,1,post,NA,NA,NA,29 TTC,11.8,Maja,290.751,115
2016,2016-06-14,Alrust,Alr1,Alr1C,C,2016-06-14T11:55:00Z,2016-06-14T11:57:00Z,120,616.7212396694215,16.3,16,-3.3122890203051942,-15.42077764712607,0.9561236672368892,1,post,NA,NA,NA,29 TTC,11.8,Maja,293.75399999999996,2016-06-14T11:58:00Z,2016-06-14T12:00:00Z,120,9.641487603305785,16.3,16,12.108488626820876,0.994459192008731,1,post,NA,NA,NA,29 TTC,11.8,Maja,294.00399999999996,180
2016,2016-06-14,Alrust,Alr1,Alr1C,C,2016-06-14T12:43:45Z,2016-06-14T12:44:55Z,70,1651.627605633803,16.5,16,-8.646734640060457,-21.336982938406823,0.970352279049623,1,post,NA,NA,NA,29 TTC,11.8,Maja,297.005,2016-06-14T12:46:45Z,2016-06-14T12:48:45Z,120,1.7179338842975207,16.5,16,12.690248298346367,0.9989649969557933,1,post,NA,NA,NA,29 TTC,11.8,Maja,297.755,180
2016,2016-06-21,Alrust,Alr1,Alr1C,C,2016-06-21T08:41:55Z,2016-06-21T08:43:15Z,80,1810.4082352941177,11,16,-14.957955926024553,-21.372623816157997,0.996726902461588,1,post,NA,,NA,29 TTC,26.375,Maja,294.2115,2016-06-21T08:50:30Z,2016-06-21T08:51:55Z,85,2.0213555555555556,11,16,6.414667890133442,0.9616115977181083,1,post,NA,,NA,29 TTC,26.375,Maja,293.51099999999997,515
2016,2016-06-21,Alrust,Alr1,Alr1C,C,2016-06-21T08:44:35Z,2016-06-21T08:45:30Z,55,558.375,11,16,-1.5043621076991913,-7.9190299978326335,0.9004198993422797,1,post,NA,,NA,29 TTC,26.375,Maja,294.762,2016-06-21T08:50:30Z,2016-06-21T08:51:55Z,85,2.0213555555555556,11,16,6.414667890133442,0.9616115977181083,1,post,NA,,NA,29 TTC,26.375,Maja,293.51099999999997,355
2016,2016-06-21,Alrust,Alr1,Alr1C,C,2016-06-21T08:47:30Z,2016-06-21T08:49:10Z,100,929.3780952380953,11,16,-6.95327048009491,-13.367938370228352,0.9982152021740682,1,post,NA,,NA,29 TTC,26.375,Maja,294.512,2016-06-21T08:50:30Z,2016-06-21T08:51:55Z,85,2.0213555555555556,11,16,6.414667890133442,0.9616115977181083,1,post,NA,,NA,29 TTC,26.375,Maja,293.51099999999997,180
2016,2016-06-21,Alrust,Alr1,Alr1C,C,2016-06-21T09:30:05Z,2016-06-21T09:31:45Z,100,1569.9390476190476,11.6,16,-12.11307279765667,-24.342111694143092,0.9968384867352982,1,post,NA,,NA,29 TTC,26.375,Maja,289.9559,2016-06-21T09:38:45Z,2016-06-21T09:40:45Z,120,4.476976,11.6,16,12.22903889648642,0.9957443168362633,1,post,NA,,NA,29 TTC,26.375,Maja,292.00899999999996,520
