year,siteID,blockID,plotID,removal,treatment,total_graminoids,total_forbs,total_bryophytes,vegetation_height,moss_height,litter,species,cover,functional_group,sumcover,recorder,turfID
2016,Gudmedalen,Gud5,Gud4XC,post,XC,30,60,7,37.5,NA,10,Ach.mil,6,forb,68,RG,NA
2016,Gudmedalen,Gud5,Gud5C,post,C,30,70,10,45,NA,10,Ach.mil,8,forb,66,RG,NA
2016,Gudmedalen,Gud5,Gud3XC,post,XC,60,40,15,38.75,NA,5,Ach.mil,2,forb,47,RG,NA
2016,Fauske,Fau2,Fau4XC,post,XC,90,20,30,160,5,10,Ach.mil,5,forb,43,FJ,NA
2016,Fauske,Fau2,Fau2XC,post,XC,65,60,50,100,5,20,Ach.mil,12,forb,70,FJ,NA
2016,Fauske,Fau2,Fau1XC,post,XC,50,40,2,218.75,0,4,Ach.mil,2,forb,96.75,EM,NA
2016,Alrust,Alr1,Alr1XC,post,XC,35,50,5,90,NA,60,Ach.mil,1,forb,66,FJ,NA
2016,Alrust,Alr2,Alr2XC,post,XC,20,90,5,97.5,NA,70,Ach.mil,1,forb,92,FJ,NA
2016,Alrust,Alr3,Alr3XC,post,XC,50,30,2,97.5,NA,25,Ach.mil,1,forb,64,FJ,NA
2016,Alrust,Alr3,Alr3C,post,C,35,40,10,237.5,NA,60,Ach.mil,4.5,forb,109.5,"RG,EM",37 TTC
2016,Alrust,Alr4,Alr4XC,post,XC,55,40,5,112.5,NA,55,Ach.mil,4,forb,37,FJ,NA
2016,Vikesland,Vik4,Vik4XC,post,XC,30,45,80,93.75,13,5,Ach.mil,22,forb,63,RG,NA
2016,Vikesland,Vik3,Vik3XC,post,XC,28,50,95,92.5,20,5,Ach.mil,18,forb,50.25,RG,NA
2016,Vikesland,Vik2,Vik2XC,post,XC,35,45,80,75,18.75,10,Ach.mil,25,forb,64,RG,NA
2016,Vikesland,Vik1,Vik1XC,post,XC,35,70,70,98.75,16.25,10,Ach.mil,7,forb,64,RG,NA
2016,Hogsete,Hog1,Hog1XC,post,XC,70,20,10,175,20,NA,Ach.mil,1,forb,17,EM,NA
2016,Hogsete,Hog3,Hog3XC,post,XC,45,25,45,75,20,NA,Ach.mil,1,forb,18,EM,NA
2016,Hogsete,Hog4,Hog4XC,post,XC,50,50,50,90,31.25,NA,Ach.mil,2,forb,51.5,EM,NA
2016,Rambera,Ram4,Ram4XC,post,XC,90,15,5,90,17.5,10,Ach.mil,3,forb,34,EM,NA
2016,Rambera,Ram3,Ram3XC,post,XC,80,25,5,125,16.25,NA,Ach.mil,1,forb,37,EM,NA
2016,Fauske,Fau3,Fau3XC,post,XC,60,50,20,117.25,NA,30,Ach.mil,30,forb,98,RG,NA
2015,Alrust,Alr5,Alr5FB,pre,FB,37,68,8,90,NA,5,Ach.mil,1,forb,69,RG,NA
2015,Alrust,Alr5,Alr5FGB,pre,FGB,32,80,50,120,NA,3,Ach.mil,6,forb,89,RG,NA
2015,Alrust,Alr5,Alr5GB,pre,GB,50,60,20,100,NA,2,Ach.mil,3,forb,73,RG,NA
2015,Alrust,Alr5,Alr5C,pre,C,40,75,7,135,NA,3,Ach.mil,2,forb,115,RG,NA
2015,Alrust,Alr1,Alr1GB,pre,GB,100,40,0,210,NA,3,Ach.mil,4.625,forb,69.625,RG,NA
2015,Alrust,Alr1,Alr1FGB,pre,FGB,40,80,0,90,NA,6,Ach.mil,2,forb,76,RG,NA
2015,Alrust,Alr1,Alr1F,pre,F,45,70,0,85,NA,NA,Ach.mil,3,forb,85,RG,NA
2015,Alrust,Alr1,Alr1GF,pre,GF,85,55,0,125,NA,8,Ach.mil,1,forb,42,RG,NA
2015,Alrust,Alr2,Alr2F,pre,F,95,70,5,200,NA,15,Ach.mil,1,forb,88,FJ,NA
2015,Alrust,Alr1,Alr1B,pre,B,70,60,3,87,NA,16,Ach.mil,2,forb,78,FJ,NA
2015,Alrust,Alr2,Alr2FGB,pre,FGB,80,55,3,150,NA,9,Ach.mil,4,forb,96,FJ,NA
2015,Alrust,Alr3,Alr3F,pre,F,60,60,50,100,NA,20,Ach.mil,4,forb,85,FJ,NA
2015,Alrust,Alr3,Alr3B,pre,B,75,55,2,130,NA,4,Ach.mil,3,forb,86.75,FJ,NA
2015,Alrust,Alr3,Alr3GF,pre,GF,80,40,2,125,NA,18,Ach.mil,40,forb,99,FJ,NA
